Feature names	slope	reconstruction_correlation
proteomics_1	0.44179969205841046	0.7377443952062649
proteomics_2	0.6574780569904277	0.889439321894526
proteomics_3	0.48762237897203925	0.7713705047733889
proteomics_4	0.5660456435032482	0.833577949419538
proteomics_5	0.10512180921445409	0.22714148411192173
metagenomics_1	0.660789931566756	0.8966196718719587
metagenomics_2	0.6421914086492849	0.8784098308224532
metagenomics_3	0.5665954336745993	0.8344438826361674
metagenomics_4	0.6536285155433341	0.8937927956852265
metagenomics_5	0.4733224464727357	0.753536193527781
metagenomics_6	0.5179550636748459	0.7912865266571547
metagenomics_7	0.5627672005264904	0.8314904143737119
metagenomics_8	0.6391998840230443	0.884162368980399
metagenomics_9	0.3292526192411131	0.6344351499089478
metagenomics_10	0.28102592500233997	0.5307195890189496
